"Instrument","Qty.","Avg. cost","LTP","Cur. val","P&L","Net chg.","Day chg."
"SUZLON","190","83.28","80.84","15359.6","-463.6","-2.93","-1.41"
"HSCL","17","525.9","663","11271","2330.7","26.07","3.48"
"RAJOOENG","30","129.5","372.15","11164.5","7279.6","187.38","-4.67"
"CGPOWER","14","703.55","743.25","10405.5","555.8","5.64","1.66"
"NAVA","7","979.85","1307.15","9150.05","2291.1","33.4","3.96"
"GODFRYPHLP","1","6843.75","7577.85","7577.85","734.1","10.73","-2.08"
"ZENTEC","4","1594.85","1681","6724","344.6","5.4","-0.83"
"AIIL","4","1704.14","1667","6668","-148.55","-2.18","2.11"
"MCX","1","5365.75","5803.55","5803.55","437.8","8.16","2.64"
"GRSE","3","1790.95","1717.1","5151.3","-221.55","-4.12","-0.56"
"TARIL","7","661.1","606.9","4248.3","-379.4","-8.2","-4.3"
"POCL","2","2198.65","2116.35","4232.7","-164.6","-3.74","5"
"AURIONPRO","2","1909","1765.3","3530.6","-287.4","-7.53","-2.17"
"COCHINSHIP","2","1627.45","1725.6","3451.2","196.3","6.03","-2.1"
"WAAREERTL","2","1403.95","1685.45","3370.9","563","20.05","5"
"RAMRAT","5","619.85","635.6","3178","78.75","2.54","-2.28"
"RAYMOND","1","1916.6","1842.7","1842.7","-73.9","-3.86","0.5"
"CUPID","20","101.5","85.9","1718","-312","-15.37","0.89"
"HBLPOWER","2","606","620.05","1240.1","28.1","2.32","-1.43"
"POWERMECH","0","6340","6467.45","0","0","2.01","-2.46"
