"Instrument","Qty.","Avg. cost","LTP","Cur. val","P&L","Net chg.","Day chg."
"COCHINSHIP","3","1846.03","1725.6","5176.8","-361.3","-6.52","-2.1"
"CUPID","40","101.94","85.9","3436","-641.6","-15.73","0.89"
"ERAAYA","8","800","1786.25","14290","7890","123.28","5"
"GET&D-BE","4","1593.55","1691.4","6765.6","391.4","6.14","-0.11"
"GPTINFRA-BE","27","190.1","158.28","4273.56","-859.14","-16.74","-2.2"
"HUBTOWN-BE","14","281.99","280.25","3923.5","-24.36","-0.62","2.75"
"IFCI","98","83.1","71.49","7006.02","-1137.78","-13.97","-0.79"
"IIFLSEC","15","307.5","331","4965","352.5","7.64","0.56"
"INOXWIND","17","227.3","248.55","4225.35","361.25","9.35","1.55"
"MARSONS","25","222.2","221.65","5541.25","-13.75","-0.25","-4.99"
"PCJEWELLER","23","142.82","146.8","3376.4","91.54","2.79","-3.01"
"PICCADIL","9","750","798.35","7185.15","435.15","6.45","2.1"
"RAJOOENG","32","176.53","372.15","11908.8","6260","110.82","-4.67"
"SBGLP","46","116.4","114.59","5271.14","-83.26","-1.55","0.92"
"SPMLINFRA","25","257.7","276.3","6907.5","465","7.22","3.33"
"TARIL","9","510.44","606.9","5462.1","868.1","18.9","-4.3"
"UNITECH","370","14.35","10.23","3785.1","-1524.4","-28.71","4.92"
"V2RETAIL-BE","4","1025","1148.3","4593.2","493.2","12.03","0.06"
"WAAREERTL","2","1403.95","1685.45","3370.9","563","20.05","5"
"WEBELSOLAR-BE","6","628.63","1010.1","6060.6","2288.8","60.68","-3.69"
